lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,step,CD_Loss,MSE_Bias_Loss,MSE_Var_Loss,epoch
0.0005,0.0005,0.0005,459,,,,
,,,459,-72.95780181884766,0.23191002011299133,0.5812056660652161,1
0.0005,0.0005,0.0005,464,,,,
,,,464,-63.17272186279297,0.23394915461540222,0.578803539276123,1
0.0005,0.0005,0.0005,469,,,,
,,,469,-122.48463439941406,0.24017778038978577,0.593977689743042,1
0.0005,0.0005,0.0005,474,,,,
,,,474,-89.89994049072266,0.2304343730211258,0.574571430683136,1
0.0005,0.0005,0.0005,479,,,,
,,,479,-127.76918029785156,0.2333732694387436,0.5861181020736694,1
0.0005,0.0005,0.0005,484,,,,
,,,484,-27.30860710144043,0.23104502260684967,0.5780782103538513,1
0.0005,0.0005,0.0005,489,,,,
,,,489,-40.18867492675781,0.22746020555496216,0.5776820778846741,1
0.0005,0.0005,0.0005,494,,,,
,,,494,-86.0147933959961,0.24152715504169464,0.5899291038513184,1
0.0005,0.0005,0.0005,499,,,,
,,,499,-50.585025787353516,0.23745398223400116,0.5968062877655029,1
0.0005,0.0005,0.0005,504,,,,
,,,504,-111.8277359008789,0.23397038877010345,0.5905229449272156,1
0.0005,0.0005,0.0005,509,,,,
,,,509,-97.36817169189453,0.2373347133398056,0.5838426351547241,1
0.0005,0.0005,0.0005,514,,,,
,,,514,-4.576292037963867,0.2317817509174347,0.584056556224823,1
0.0005,0.0005,0.0005,519,,,,
,,,519,-36.29073715209961,0.23642605543136597,0.5861446261405945,1
0.0005,0.0005,0.0005,524,,,,
,,,524,-123.95452880859375,0.22850722074508667,0.586176872253418,1
0.0005,0.0005,0.0005,529,,,,
,,,529,-69.20408630371094,0.23680979013442993,0.5813380479812622,1
0.0005,0.0005,0.0005,534,,,,
,,,534,-91.44804382324219,0.23344983160495758,0.589310884475708,1
0.0005,0.0005,0.0005,539,,,,
,,,539,-117.03363037109375,0.23761452734470367,0.5825268626213074,1
0.0005,0.0005,0.0005,544,,,,
,,,544,-60.8326416015625,0.2362450361251831,0.5808814764022827,1
0.0005,0.0005,0.0005,549,,,,
,,,549,-64.35066223144531,0.2357054501771927,0.5920873880386353,1
0.0005,0.0005,0.0005,554,,,,
,,,554,-123.280029296875,0.22618617117404938,0.5746760964393616,1
0.0005,0.0005,0.0005,559,,,,
,,,559,-67.34241485595703,0.24976679682731628,0.6009669303894043,1
0.0005,0.0005,0.0005,564,,,,
,,,564,-72.06431579589844,0.23486442863941193,0.5897742509841919,1
0.0005,0.0005,0.0005,569,,,,
,,,569,-60.64851379394531,0.2285565584897995,0.5816446542739868,1
0.0005,0.0005,0.0005,574,,,,
,,,574,-111.50173950195312,0.2296617478132248,0.5838481187820435,1
0.0005,0.0005,0.0005,579,,,,
,,,579,-87.785400390625,0.2393249273300171,0.5864847302436829,1
0.0005,0.0005,0.0005,584,,,,
,,,584,-140.92874145507812,0.22543513774871826,0.576820969581604,1
0.0005,0.0005,0.0005,589,,,,
,,,589,-110.99427032470703,0.2216978669166565,0.5763996839523315,1
0.0005,0.0005,0.0005,594,,,,
,,,594,-134.67474365234375,0.22405686974525452,0.584561288356781,1
0.0005,0.0005,0.0005,599,,,,
,,,599,-99.43215942382812,0.22930170595645905,0.5826349258422852,1
0.0005,0.0005,0.0005,604,,,,
