lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,step,CD_Loss,MSE_Bias_Loss,MSE_Var_Loss,epoch
,,,359,-127.056640625,0.24070727825164795,0.5795592665672302,0
0.0005,0.0005,0.0005,364,,,,
,,,364,-117.98656463623047,0.23606285452842712,0.5693274736404419,0
0.0005,0.0005,0.0005,369,,,,
,,,369,-66.18406677246094,0.2481972873210907,0.5733196139335632,0
0.0005,0.0005,0.0005,374,,,,
,,,374,-106.75145721435547,0.24871769547462463,0.5873284339904785,0
0.0005,0.0005,0.0005,379,,,,
,,,379,-136.4930419921875,0.23887354135513306,0.5668660402297974,0
0.0005,0.0005,0.0005,384,,,,
,,,384,-129.52444458007812,0.24100050330162048,0.5827246904373169,0
0.0005,0.0005,0.0005,389,,,,
,,,389,-127.33395385742188,0.2399527132511139,0.5796290040016174,0
0.0005,0.0005,0.0005,394,,,,
,,,394,-132.67684936523438,0.2343212366104126,0.5768759846687317,0
0.0005,0.0005,0.0005,399,,,,
,,,399,-36.89057159423828,0.2669849097728729,0.6076206564903259,0
0.0005,0.0005,0.0005,404,,,,
,,,404,-130.0106658935547,0.24692916870117188,0.5878266096115112,0
0.0005,0.0005,0.0005,409,,,,
,,,409,-61.528141021728516,0.24927054345607758,0.5912936329841614,0
0.0005,0.0005,0.0005,414,,,,
,,,414,-97.60730743408203,0.24060256779193878,0.5742116570472717,0
0.0005,0.0005,0.0005,419,,,,
,,,419,-156.2276153564453,0.22915096580982208,0.5690683722496033,0
0.0005,0.0005,0.0005,424,,,,
,,,424,-88.83772277832031,0.24359920620918274,0.5886611938476562,0
0.0005,0.0005,0.0005,429,,,,
,,,429,-120.55126953125,0.2330118715763092,0.573517918586731,0
0.0005,0.0005,0.0005,434,,,,
,,,434,-133.5829620361328,0.23385486006736755,0.566550612449646,1
0.0005,0.0005,0.0005,439,,,,
,,,439,-111.57598114013672,0.23573926091194153,0.5718593001365662,1
0.0005,0.0005,0.0005,444,,,,
,,,444,-67.18096923828125,0.23467954993247986,0.5720159411430359,1
0.0005,0.0005,0.0005,449,,,,
,,,449,-62.75025177001953,0.242254838347435,0.5897461771965027,1
0.0005,0.0005,0.0005,454,,,,
,,,454,-8.686387062072754,0.2565169036388397,0.5988292694091797,1
0.0005,0.0005,0.0005,459,,,,
,,,459,-92.96515655517578,0.24524003267288208,0.5897290110588074,1
0.0005,0.0005,0.0005,464,,,,
,,,464,-101.17190551757812,0.25614598393440247,0.5943824052810669,1
0.0005,0.0005,0.0005,469,,,,
,,,469,-96.14408874511719,0.23372237384319305,0.571079671382904,1
0.0005,0.0005,0.0005,474,,,,
,,,474,-100.57166290283203,0.23554813861846924,0.5923858284950256,1
0.0005,0.0005,0.0005,479,,,,
,,,479,101.0803451538086,0.2444659024477005,0.5832008719444275,1
0.0005,0.0005,0.0005,484,,,,
,,,484,-60.171783447265625,0.23960942029953003,0.5799870491027832,1
0.0005,0.0005,0.0005,489,,,,
,,,489,-86.18379211425781,0.23816907405853271,0.5831726789474487,1
0.0005,0.0005,0.0005,494,,,,
,,,494,-71.97606658935547,0.24675863981246948,0.580848217010498,1
0.0005,0.0005,0.0005,499,,,,
,,,499,-134.32435607910156,0.23438847064971924,0.5696807503700256,1
0.0005,0.0005,0.0005,504,,,,
,,,504,-56.08320999145508,0.25202926993370056,0.6005517244338989,1
0.0005,0.0005,0.0005,509,,,,
,,,509,-135.36888122558594,0.22670625150203705,0.5659504532814026,1
0.0005,0.0005,0.0005,514,,,,
,,,514,-115.00149536132812,0.2299673855304718,0.5828272104263306,1
